Producto,Precio,Imagen
Té CIUDAD DEL LAGO Caja 25 Saquitos,$464.25,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Mate Cocido CIUDAD DEL LAGO Caja 25 Saquitos,"$901,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00127600/00127623.jpg?3.0.174c
Mate Cocido CIUDAD DEL LAGO Caja 50 Saquitos,"$1.694,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00127600/00127624.jpg?3.0.174c
Té CIUDAD DEL LAGO Caja 50 Saquitos,$888.00,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Nescafé® Gold  Espresso X 100gr,"$16.459,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00235500/00235591.jpg?3.0.174c
Nescafé Decafeinado X 100gr,"$10.119,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00265500/00265554.jpg?3.0.174c
Nescafé Dolce Gusto Mocha X 16u.,$12536.25,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Botella Térmica Mate Listo Taragui 1u.,$1416.00,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Yerba Mate Listo Taragui Paq 1 Uni,$818.25,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Mate Cocido TARAGUI Vainilla Y Miel Caja 20 Saquitos,"$1.903,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00186300/00186322.jpg?3.0.174c
Té Negro TARAGUI En Hebras Caja 180 Gr,$1767.75,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
Té Negro TARAGUI   Clásico Caja 25 Saquitos,$1474.50,https://static.cotodigital3.com.ar/sitios/cdigi/static/content/images/cdigi/ofertas/oferta.png?3.0.174c
